Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomePerYear,SatisfactionScore,LoyaltyIndex,WorkloadScore,CareerGrowthRate,OverTimeRisk,TenureStabilityIndex,OverTimeXSatisfaction,StagnationRisk,IncomeVsExperience,DistanceXOverTime
47,Travel_Rarely,1225,Sales,2,Master,Life Sciences,Medium,Female,47,Very High,4,Manager,Medium,Divorced,15972,21086,6,No,14,Excellent,High,3,28.5,2,Better,3,2,1,2,3993.0,2.5,0.06779661016949153,8,0.5,0,4.071428571428571,0,0.25,541.4237288135594,0
22,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,High,Male,100,High,1,Laboratory Technician,Very High,Married,2523,19299,0,No,14,Excellent,High,1,3.0,2,Better,2,1,2,1,841.0,3.25,0.25,6,0.0,0,3.0,0,0.6666666666666666,630.75,0
46,Travel_Rarely,406,Sales,3,Below College,Marketing,Low,Male,52,High,4,Manager,High,Married,16581,15596,3,No,12,Excellent,Very High,1,23.0,3,Better,12,9,4,9,1275.4615384615386,2.75,0.375,9,0.6153846153846154,0,5.75,0,0.3076923076923077,690.875,0
25,Travel_Rarely,622,Sales,13,Below College,Medical,Medium,Male,40,High,1,Sales Representative,High,Married,2096,26376,1,No,11,Excellent,High,0,7.0,1,Better,7,4,0,6,262.0,2.75,0.75,3,0.875,0,3.5,0,0.0,262.0,0
43,Travel_Frequently,1001,Research & Development,9,Doctor,Medical,Very High,Male,72,High,2,Laboratory Technician,High,Divorced,5679,19627,3,Yes,13,Excellent,Medium,1,10.0,3,Better,8,7,4,7,631.0,3.0,0.6363636363636364,9,0.4444444444444444,1,2.5,2,0.4444444444444444,516.2727272727273,9
28,Travel_Rarely,1157,Research & Development,2,Master,Medical,Low,Male,84,Low,1,Research Scientist,Very High,Married,3464,24737,5,Yes,13,Excellent,Very High,0,5.0,4,Good,3,2,2,2,866.0,2.75,0.3333333333333333,4,0.25,1,0.8333333333333334,1,0.5,577.3333333333334,2
51,Travel_Rarely,833,Research & Development,1,Bachelor,Life Sciences,High,Male,96,High,1,Research Scientist,Very High,Married,2723,23231,1,No,11,Excellent,Medium,0,1.0,0,Good,1,0,0,0,1361.5,2.75,0.0,0,0.5,0,0.5,0,0.0,1361.5,0
43,Travel_Frequently,1082,Research & Development,27,Bachelor,Life Sciences,High,Female,83,High,3,Manufacturing Director,Low,Married,10820,11535,8,No,11,Excellent,High,1,18.0,1,Better,8,7,0,1,1202.2222222222222,2.5,0.05263157894736842,3,0.8888888888888888,0,2.0,0,0.0,569.4736842105264,0
40,Travel_Rarely,118,Sales,14,College,Life Sciences,Very High,Female,84,High,2,Sales Executive,Low,Married,4639,11262,1,No,15,Excellent,High,1,5.0,2,Better,5,4,1,2,773.1666666666666,2.75,0.3333333333333333,6,0.6666666666666666,0,2.5,0,0.16666666666666666,773.1666666666666,0
27,Travel_Rarely,205,Sales,10,Bachelor,Marketing,Very High,Female,98,Medium,2,Sales Executive,Very High,Married,5769,7100,1,Yes,11,Excellent,Very High,0,6.0,3,Better,6,2,4,4,824.1428571428571,3.75,0.5714285714285714,6,0.2857142857142857,1,3.0,1,0.5714285714285714,824.1428571428571,10
36,Travel_Rarely,1218,Sales,9,Master,Life Sciences,High,Male,82,Medium,1,Sales Representative,Low,Single,3407,6986,7,No,23,Outstanding,Medium,0,10.0,4,Better,5,3,0,3,567.8333333333334,2.25,0.2727272727272727,8,0.8333333333333334,0,1.25,0,0.0,309.72727272727275,0
29,Travel_Rarely,694,Research & Development,1,Bachelor,Life Sciences,Very High,Female,87,Medium,4,Research Director,Very High,Divorced,16124,3423,3,No,14,Excellent,Medium,2,9.0,2,Good,7,7,1,7,2015.5,3.0,0.7,4,0.75,0,2.25,0,0.125,1612.4,0
45,Travel_Rarely,549,Research & Development,8,Master,Other,Very High,Male,75,High,2,Research Scientist,Very High,Married,3697,9278,9,No,14,Excellent,Low,2,12.0,3,Better,10,9,9,8,336.09090909090907,3.0,0.6153846153846154,9,0.09090909090909091,0,1.2,0,0.8181818181818182,284.38461538461536,0
23,Travel_Rarely,507,Research & Development,20,Below College,Life Sciences,Low,Male,97,High,2,Laboratory Technician,High,Single,2272,24812,0,No,14,Excellent,Medium,0,5.0,2,Better,4,3,1,2,454.4,2.25,0.3333333333333333,6,0.6,0,5.0,0,0.2,378.6666666666667,0
34,Travel_Frequently,669,Research & Development,1,Bachelor,Medical,Very High,Male,97,Medium,2,Healthcare Representative,Low,Single,5343,25755,0,No,20,Outstanding,High,0,14.0,3,Better,13,9,4,9,381.64285714285717,2.75,0.6,6,0.6428571428571429,0,14.0,0,0.2857142857142857,356.2,0
19,Travel_Rarely,303,Research & Development,2,Bachelor,Life Sciences,Medium,Male,47,Medium,1,Laboratory Technician,Very High,Single,1102,9241,1,No,22,Outstanding,High,0,1.0,3,Good,1,0,1,0,551.0,2.75,0.0,6,0.0,0,0.5,0,0.5,551.0,0
44,Travel_Rarely,621,Research & Development,15,Bachelor,Medical,Low,Female,73,High,3,Healthcare Representative,Very High,Married,7978,14075,1,No,11,Excellent,Very High,1,10.0,2,Better,10,7,0,5,725.2727272727273,3.0,0.45454545454545453,6,0.9090909090909091,0,5.0,0,0.0,725.2727272727273,0
47,Non-Travel,1169,Research & Development,14,Master,Technical Degree,High,Male,64,High,2,Research Scientist,Medium,Married,5467,2125,8,No,18,Excellent,High,1,16.0,4,Best,8,7,1,7,607.4444444444445,3.0,0.4117647058823529,12,0.7777777777777778,0,1.7777777777777777,0,0.1111111111111111,321.5882352941176,0
31,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,Medium,Male,100,Very High,2,Sales Executive,Very High,Married,6929,12241,4,No,11,Excellent,Medium,1,10.0,3,Good,8,7,7,7,769.8888888888889,2.5,0.6363636363636364,12,0.1111111111111111,0,2.0,0,0.7777777777777778,629.9090909090909,0
46,Travel_Frequently,638,Research & Development,1,Bachelor,Medical,High,Male,40,Medium,3,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,Excellent,High,1,21.0,5,Good,10,9,9,5,970.2727272727273,2.25,0.22727272727272727,10,0.09090909090909091,1,7.0,4,0.8181818181818182,485.1363636363636,1
33,Travel_Rarely,117,Research & Development,9,Bachelor,Medical,Low,Male,60,High,1,Research Scientist,Very High,Married,2781,6311,0,No,13,Excellent,Medium,1,15.0,5,Better,14,10,4,10,185.4,2.5,0.625,15,0.6666666666666666,0,15.0,0,0.26666666666666666,173.8125,0
38,Travel_Rarely,702,Sales,1,Master,Life Sciences,Low,Female,59,Medium,2,Sales Executive,Very High,Single,8686,12930,4,No,22,Outstanding,High,0,12.0,2,Best,8,3,0,7,965.1111111111111,3.0,0.5384615384615384,4,0.8888888888888888,0,2.4,0,0.0,668.1538461538462,0
36,Travel_Rarely,1396,Research & Development,5,College,Life Sciences,Very High,Male,62,High,2,Laboratory Technician,Medium,Single,5914,9945,8,No,16,Excellent,Very High,0,16.0,3,Best,13,11,3,7,422.42857142857144,3.5,0.4117647058823529,9,0.7142857142857143,0,1.7777777777777777,0,0.21428571428571427,347.88235294117646,0
46,Travel_Rarely,991,Human Resources,1,College,Life Sciences,Very High,Female,44,High,1,Human Resources,Low,Single,3423,22957,6,No,12,Excellent,High,0,10.0,3,Best,7,6,5,7,427.875,3.0,0.6363636363636364,9,0.25,0,1.4285714285714286,0,0.625,311.1818181818182,0
41,Travel_Rarely,447,Research & Development,5,Bachelor,Life Sciences,Medium,Male,85,Very High,2,Healthcare Representative,Medium,Single,6870,15530,3,No,12,Excellent,Low,0,11.0,3,Bad,3,2,1,2,1717.5,1.5,0.16666666666666666,12,0.5,0,2.75,0,0.25,572.5,0
20,Travel_Rarely,654,Sales,21,Bachelor,Marketing,High,Male,43,Very High,1,Sales Representative,Very High,Single,2678,5050,1,No,17,Excellent,Very High,0,2.0,2,Better,2,1,2,2,892.6666666666666,3.5,0.6666666666666666,8,0.0,0,1.0,0,0.6666666666666666,892.6666666666666,0
31,Travel_Rarely,1003,Sales,5,Bachelor,Technical Degree,Low,Male,51,High,2,Sales Executive,High,Married,8346,20943,1,No,19,Excellent,High,1,6.0,3,Better,5,2,0,2,1391.0,2.5,0.2857142857142857,9,0.8333333333333334,0,3.0,0,0.0,1192.2857142857142,0
31,Non-Travel,976,Research & Development,3,College,Medical,High,Male,48,High,1,Research Scientist,Low,Divorced,3065,3995,1,Yes,13,Excellent,Very High,1,4.0,3,Best,4,2,2,3,613.0,3.0,0.6,9,0.4,1,2.0,4,0.4,613.0,3
46,Travel_Rarely,1402,Sales,2,Bachelor,Marketing,High,Female,69,High,4,Manager,Low,Married,16581,24097,8,No,23,Outstanding,Low,0,28.0,2,Better,18,15,15,9,872.6842105263158,2.0,0.3103448275862069,6,0.15789473684210525,0,3.111111111111111,0,0.7894736842105263,571.7586206896551,0
53,Travel_Rarely,1070,Research & Development,3,Master,Medical,High,Male,45,High,4,Research Director,High,Married,16581,21016,3,Yes,16,Excellent,Very High,3,21.0,5,Good,5,3,1,3,2763.5,3.0,0.13636363636363635,15,0.6666666666666666,1,5.25,2,0.16666666666666666,753.6818181818181,3
24,Travel_Rarely,350,Research & Development,21,College,Technical Degree,High,Male,57,Medium,1,Laboratory Technician,Low,Divorced,2296,10036,0,No,14,Excellent,Medium,3,2.0,3,Better,1,1,0,0,1148.0,2.25,0.0,6,0.5,0,2.0,0,0.0,765.3333333333334,0
52,Travel_Rarely,1325,Research & Development,11,Master,Life Sciences,Very High,Female,82,High,2,Laboratory Technician,High,Married,3149,21821,8,No,20,Outstanding,Medium,1,9.0,3,Better,5,2,1,4,524.8333333333334,3.0,0.4,9,0.6666666666666666,0,1.0,0,0.16666666666666666,314.9,0
36,Travel_Frequently,1480,Research & Development,3,College,Medical,Very High,Male,30,High,1,Laboratory Technician,Medium,Single,2088,15062,4,No,12,Excellent,High,0,13.0,3,Good,8,7,7,2,232.0,2.75,0.14285714285714285,9,0.1111111111111111,0,2.6,0,0.7777777777777778,149.14285714285714,0
29,Travel_Rarely,1378,Research & Development,13,College,Other,Very High,Male,46,Medium,2,Laboratory Technician,Medium,Married,4025,23679,4,Yes,13,Excellent,Low,1,10.0,2,Better,4,3,0,3,805.0,2.5,0.2727272727272727,4,0.8,1,2.0,3,0.0,365.90909090909093,13
28,Travel_Rarely,1300,Research & Development,17,College,Medical,High,Male,79,High,2,Laboratory Technician,Low,Divorced,4558,13535,1,No,12,Excellent,Very High,1,10.0,2,Better,10,0,1,8,414.3636363636364,2.75,0.7272727272727273,6,0.8181818181818182,0,5.0,0,0.09090909090909091,414.3636363636364,0
42,Travel_Rarely,300,Research & Development,2,Bachelor,Life Sciences,Low,Male,56,High,5,Manager,High,Married,16581,17312,5,No,11,Excellent,Low,0,24.0,2,Good,18,6,4,14,872.6842105263158,1.75,0.56,6,0.7368421052631579,0,4.0,0,0.21052631578947367,663.24,0
